season,matchnumber,venue,dateandtime,winningteam,firstteam,secondteam,link
2010,MATCH 37,"M. A. Chidambaram Stadium, Chennai","APR, TUE 6 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 24 RUNS,"CSK
165/4
(20 OV)","MI
141/9
(20 OV )",https://www.iplt20.com/match/2010/10154
2010,MATCH 36,"Vidarbha Cricket Association Stadium, Nagpur","APR, MON 5 , 8:00 pm IST",RAJASTHAN ROYALS WON BY 2 RUNS,"DEC
157
(19.5 OV)","RR
159
(19.5 OV )",https://www.iplt20.com/match/2010/10153
2010,MATCH 35,"Arun Jaitley Stadium, Delhi","APR, SUN 4 , 8:00 pm IST",DELHI DAREDEVILS WON BY 37 RUNS,"DD
184/5
(20 OV)","RCB
147/9
(20 OV )",https://www.iplt20.com/match/2010/10152
2010,MATCH 34,"Eden Gardens, Kolkata","APR, SUN 4 , 4:00 pm IST",PUNJAB KINGS WON BY 8 WICKETS,"KKR
200/3
(20 OV)","PBKS
204/2
(18.2 OV )",https://www.iplt20.com/match/2010/10151
2010,MATCH 33,"Brabourne Stadium, Mumbai","APR, SAT 3 , 8:00 pm IST",MUMBAI INDIANS WON BY 63 RUNS,"MI
178/5
(20 OV)","DEC
115
(18.2 OV )",https://www.iplt20.com/match/2010/10150
2010,MATCH 32,"M. A. Chidambaram Stadium, Chennai","APR, SAT 3 , 4:00 pm IST",CHENNAI SUPER KINGS WON BY 23 RUNS,"CSK
246/5
(20 OV)","RR
223/5
(20 OV )",https://www.iplt20.com/match/2010/10149
2010,MATCH 31,"IS Bindra Stadium, Mohali","APR, FRI 2 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 6 WICKETS,"PBKS
181/5
(20 OV)","RCB
184/4
(19.1 OV )",https://www.iplt20.com/match/2010/10148
2010,MATCH 30,"Eden Gardens, Kolkata","APR, THU 1 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 24 RUNS,"KKR
181/6
(20 OV)","DEC
157/5
(20 OV )",https://www.iplt20.com/match/2010/10147
2010,MATCH 29,"Arun Jaitley Stadium, Delhi","MAR, WED 31 , 8:00 pm IST",DELHI DAREDEVILS WON BY 67 RUNS,"DD
188/6
(20 OV)","RR
121
(17.4 OV )",https://www.iplt20.com/match/2010/10146
2010,MATCH 28,"M. A. Chidambaram Stadium, Chennai","MAR, WED 31 , 4:00 pm IST",CHENNAI SUPER KINGS WON BY 5 WICKETS,"CSK
162/5
(18.5 OV)","RCB
161/4
(20 OV )",https://www.iplt20.com/match/2010/10145
2010,MATCH 27,"Brabourne Stadium, Mumbai","MAR, TUE 30 , 8:00 pm IST",MUMBAI INDIANS WON BY 4 WICKETS,"MI
164/6
(19.3 OV)","PBKS
163
(20 OV )",https://www.iplt20.com/match/2010/10144
